🏆自家優選,#genre#


無綫新聞,https://cdn.hklive.tv:443/xxxx/83/index.m3u8
無綫新聞,http://2022.stream-link.org/playlist/tvb_news



無綫新聞海外版,http://2022.stream-link.org/playlist/tvb_news
無綫新聞海外版,http://103.214.71.71:1633/www.zhiboyuandakatv.xyz/MAX_3-Days.m3u8?md5=AyW8SShgDFUZstSwjNYlcQ&expires=1671531693&備用



有線新聞,http://116.205.130.205:66/6/807tv.php?tid=gt&id=19
有線新聞,https://uc6.i-cable.com/live_freedirect/freehd209_h.live/playlist.m3u8
有線新聞,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8&備用
有線新聞,https://epg.pm/stream/c23b8ac82fc1ce0ef11730c5760a49669a54e6131b2e116353ce2b733feda5f7.m3u8$備用
有線新聞,https://api.leonardpark.dev/live/icable/109$備用

民視 HD,http://123.58.201.173:52411/test/lshotel.php?id=4
民視 HD,http://23.237.10.66:16334?&備用
民視 HD,http://www.336699.live:1935/blockfour/4gtv-4gtv002.stream/playlist.m3u8&備用
民視 HD,http://107.151.203.111:2209/135/us50.php?id=msk&備用

台視 HD,http://123.58.201.173:52411/test/lshotel.php?id=1
台視 HD,http://23.237.10.66:16344?&備用
台視 HD,http://107.151.203.111:2209/135/us50.php?id=tsk&備用

中視 HD,http://123.58.201.173:52411/test/lshotel.php?id=2
中視 HD,http://www.336699.live:1935/blockfour/4gtv-4gtv040.stream/playlist.m3u8

華視 HD,http://123.58.201.173:52411/test/lshotel.php?id=3
華視 HD,http://www.336699.live:1935/blockfour/4gtv-4gtv041.stream/playlist.m3u8

公視 HD,http://123.58.201.173:52411/test/lshotel.php?id=5

中天新聞,http://123.58.201.173:52411/test/lshotel.php?id=41
中天新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8

東森新聞,http://123.58.201.173:52411/test/lshotel.php?id=40

壹新聞,http://123.58.201.173:52411/test/lshotel.php?id=50
The following are the latest 10 live streams searched:
纯享4K@@3[3840x2160][20221204], http://39.134.116.30/PLTV/88888910/224/3221225786/index.m3u8
纯享4k[3840*2160][3840x2160][20221202], http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8 4K
纯享4k@@1[3840x2160][20221129], http://39.135.138.58:18890/PLTV/88888910/224/3221225786/index.m3u8
纯享4k@@3[3840x2160][20221129], http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u84K
纯享4K@@1[3840x2160][20221121], http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011651&livemode=1&stbId=4
纯享4K[3840x2160][20220911], http://117.169.121.162:6610/PLTV/88888910/224/3221225786/index.m3u8
纯享4K@@1[3840x2160][20220902], http://39.134.115.221:8080/PLTV/88888910/224/3221225786/index.m3u8?
纯享4K@@4[3840x2160][20220805], http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
纯享4K@@1[3840x2160][20220805], http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K@@6[3840x2160][20220525], http://117.169.120.221:8080/wh7f454c46tw1485335032_-687149174/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225786/index.m3u8?
⁠HBO HD,http://pull-l3-cny.douyincdn.com/live/b2478a833f3e8b439b680048fcbf7786.m3u8
HBO家庭影院,http://pull-l3-cny.douyincdn.com/live/1279e1fd458348b32fd60381b1017c09.m3u8
HBO原创电影,http://pull-l3-cny.douyincdn.com/live/9bfb4b08fec367ed3850357a853250d5.m3u8
HBO强档影院,http://pull-l3-cny.douyincdn.com/live/162f0111fdd134e929d72640e6c4ea56.m3u8
星卫电影台,http://pull-l3-cny.douyincdn.com/live/80d54eadb8f343a8b837c22e336155d1.m3u8
探索频道HD,http://pull-l3-cny.douyincdn.com/live/34633761735b6c677356a7c551f89888.m3u8
动物星球HD,http://pull-l3-cny.douyincdn.com/live/eac374df3c06e8985d587224a056f483.m3u8
卫视中文HD,http://pull-l3-cny.douyincdn.com/live/41f29bf461ffa99e595f70b9593c61aa.m3u8
探索动力HD,http://pull-l3-cny.douyincdn.com/live/ea6907626f7d64aa61e5ebf88180e43d.m3u8
探索科学HD,http://pull-l3-cny.douyincdn.com/live/2ce10c5078ec753f8f50f4c3897e8f76.m3u8
东森幼幼HD,http://pull-l3-cny.douyincdn.com/live/adb7cf254b46d42d58828f590a6137bf.m3u8
纬来体育HD,http://pull-l3-cny.douyincdn.com/live/05fadffbceabeb97bbf09061a165791b.m3u8
八大第一HD,http://pull-l3-cny.douyincdn.com/live/9dbd2556b180db11b62283739297981b.m3u8
八大戏剧HD,http://pull-l3-cny.douyincdn.com/live/d031f22e749d09f261df822eb69fd743.m3u8
八大综合HD,http://pull-l3-cny.douyincdn.com/live/5228b1fb91b765911e64c9843f989267.m3u8
KBS1 HD,http://pull-l3-cny.douyincdn.com/live/da1f0d9f19a7ad52a9675a58e08de24b.m3u8
KBS2 HD,http://pull-l3-cny.douyincdn.com/live/9accc1d4ae7e4bfa7350249c05a0e3af.m3u8
MBC HD,http://pull-l3-cny.douyincdn.com/live/4f444d2b71e8fbab0a8802b9fa23ea5b.m3u8
SBS HD,http://pull-l3-cny.douyincdn.com/live/d10b659225b3738937372b8835b94f1c.m3u8
